ID     Ref      Name                       C_key   Type   RA               DEC              Vel       B_mag    V_mag    J_mag    K_mag    Teff   logg   M/H     Vmic   Simbad_Identifier                    Fe/H     Mg/H    
999    NOR97c   CS22957-027                *       RG     23_59_13.145     -3_53_48.25      -61.5     14.39    13.6     12.092   11.609   4850   1.9    -3.38   1.5    2MASS_J23591314-0353482              -3.38    -2.75   
1000   PRE01    CS22957-027                NO      RG     23_59_13.145     -3_53_48.25      -61.5     14.39    13.6     12.092   11.609   5050   2      -2.96   2      2MASS_J23591314-0353482              -2.96    -2.77   
1001   ROE14a   CS22957-027                CR      RG     23_59_13.145     -3_53_48.25      -61.5     14.39    13.6     12.092   11.609   5220   2.65   -3      1.45   2MASS_J23591314-0353482              -3.19    -3.11   
1002   ROE14b   CS22957-027                CR      RG     23_59_13.145     -3_53_48.25      -61.5     14.39    13.6     12.092   11.609   5220   2.65   -3      1.45   2MASS_J23591314-0353482              -3.19    -3.11   
1003   SHE03    Leo2                       *       RG     10_8_19.96       12_17_41.4       280.9     21.69    19.08    15.54    14.446   4200   0.5    -1.06   1.85   ALW_Leo_I_2                          -1.04    -1.27   
1004   SIM10    Leo4-S1                    *       RG     10_8_23.87       12_14_16.6       *         22.6     19.85    16.19    14.907   4330   1      -2.18   3.2    ALW_Leo_I_4                          -3.19    -2.87   
1005   SHE03    Leo5                       *       RG     10_8_22.55       12_18_25.9       *         21.4     19.22    15.687   14.509   4250   0.8    -1.52   2.2    ALW_Leo_I_5                          -1.5     -1.42   
1006   FUL00    HIP37335                   *       RG     7_39_50.11043    -1_31_20.3728    49.15     10.05    9.23     7.621    7.038    4850   2.7    -1.1    1.5    BD-01_1792                           -1.24    -0.65   
1008   ROE14b   BD-012582                  CR      RG     11_53_37.32197   -2_0_36.7463     -0.1      10.29    9.6      8.126    7.598    4920   1.8    -2.65   1.5    BD-01_2582                           -2.62    -2.08   
1009   RUC11    BD-012582                  *       RG     11_53_37.32197   -2_0_36.7463     -0.1      10.29    9.6      8.126    7.598    5237   2.79   -2.14   1.4    BD-01_2582                           -2.14    -1.8    
1010   FUL00    HIP10449                   *       MS     2_14_40.2986     -1_12_5.1197     28.16     9.631    9.066    7.899    7.52     5650   4.4    -0.8    1      BD-01_306                            -0.96    -0.58   
1012   FUL00    HIP44124                   *       SG     8_59_10.11158    -4_1_36.5154     35.46     10.114   9.648    8.561    8.205    5750   3.6    -1.8    0.1    BD-03_2525                           -1.94    -1.61   
1017   FUL00    HIP59109                   *       HB     12_7_15.07322    -5_44_1.6106     57.93     10.4     9.99     9.064    8.739    5900   3      -2.5    0.9    BD-04_3208                           -2.6     -2.02   
1025   JOH02a   BD-11145                   *       RG     0_48_24.31664    -10_41_30.8916   -93.3     11.54    10.72    9.137    8.495    4650   0.7    -2.3    2      BD-11_145                            -2.48    -1.77   
1026   RUC11    TYC5271000011              *       RG     0_37_43.27       -12_4_39.31      -48.2     11.949   11.145   9.428    8.822    4889   1.8    -2.03   1.8    BD-12_106                            -2.03    -1.88   
1027   ARN05    LTT4374                    *       SG     11_46_50.6494    -14_6_43.448     116.3     10.662   10.274   9.293    9.018    6210   3.6    -2.83   1.5    BD-13_3442                           -2.83    -2.49   
1032   RYA91    LTT4374                    *       SG     11_46_50.6494    -14_6_43.448     116.3     10.662   10.274   9.293    9.018    6250   3.8    -3.14   1.5    BD-13_3442                           -2.99    -2.56   
1033   BAR05    HE1320-1339                *       RG     13_22_44.1139    -13_55_31.418    172       11.428   10.686   8.979    8.373    4935   1.69   -2.78   1.97   BD-13_3695                           -2.78    -2.55   
1034   ROE14b   HE1320-1339                *       RG     13_22_44.1139    -13_55_31.418    172       11.428   10.686   8.979    8.373    4690   1.2    -2.93   1.75   BD-13_3695                           -3.18    -2.73   
1037   ROE14b   BD-155781                  *       RG     20_45_34.54667   -14_31_15.1544   -76       11.57    10.83    8.936    8.288    4550   0.7    -2.87   1.7    BD-15_5781                           -2.92    -2.44   
1039   AND10    CS31082-001                *       RG     1_29_31.137      -16_0_45.48      138.45    12.427   11.642   10.053   9.464    4825   1.5    -2.91   1.8    BD-16_251                            -2.91    -2.39   
1040   BAR05    CS31082-001                *       RG     1_29_31.137      -16_0_45.48      138.45    12.427   11.642   10.053   9.464    4922   1.9    -2.78   1.88   BD-16_251                            -2.78    -2.44   
1041   CAY04    BD-16251                   *       RG     1_29_31.137      -16_0_45.48      138.45    12.427   11.642   10.053   9.464    4825   1.5    -2.9    1.8    BD-16_251                            -2.9     -2.56   
1043   HIL02    CS31082-001                *       RG     1_29_31.137      -16_0_45.48      138.45    12.427   11.642   10.053   9.464    4825   1.5    -2.9    1.8    BD-16_251                            -2.9     -2.56   
1044   HON04    BD-16251                   *       RG     1_29_31.137      -16_0_45.48      138.45    12.427   11.642   10.053   9.464    4790   1.8    -2.81   1.9    BD-16_251                            -2.8     -2.17   
1047   ROE14b   CS31082-001                *       RG     1_29_31.137      -16_0_45.48      138.45    12.427   11.642   10.053   9.464    4650   1.05   -3.03   1.55   BD-16_251                            -3.09    -2.49   
1051   JOH02a   BD-176036                  *       RG     20_37_15.93143   -16_33_58.077    19.3      11.27    10.56    8.743    8.167    4700   1.35   -2.6    1.9    BD-17_6036                           -2.75    -2.06   
1052   ISH10    BD-180271                  *       RG     1_37_18.88132    -17_29_3.9129    -209.9    10.93    9.77     7.53     6.786    4080   0.01   -2.66   2.3    BD-18_271                            -2.66    -1.81   
1053   ISH12    BD-180271                  *       RG     1_37_18.88132    -17_29_3.9129    -209.9    10.93    9.77     7.53     6.786    4234   0.41   -2.58   2.5    BD-18_271                            -2.58    -2.12   
1056   AND10    BD-185550                  *       RG     19_58_49.73811   -18_12_11.1355   -125.19   10.03    9.35     7.202    6.555    4750   1.4    -3.06   1.8    BD-18_5550                           -3.06    -2.61   
1058   CAY04    BD-185550                  *       RG     19_58_49.73811   -18_12_11.1355   -125.19   10.03    9.35     7.202    6.555    4750   1.4    -3      1.8    BD-18_5550                           -3.06    -2.77   
1059   HOL11    BD-185550                  *       RG     19_58_49.73811   -18_12_11.1355   -125.19   10.03    9.35     7.202    6.555    4600   0.8    -3.2    1.7    BD-18_5550                           -3.2     -2.7    
1060   JOH02a   BD-185550                  *       RG     19_58_49.73811   -18_12_11.1355   -125.19   10.03    9.35     7.202    6.555    4600   0.95   -2.9    1.9    BD-18_5550                           -3.03    -2.43   
1061   MCW95    BD-185550                  *       RG     19_58_49.73811   -18_12_11.1355   -125.19   10.03    9.35     7.202    6.555    4790   1.15   -3.1    2.14   BD-18_5550                           -2.89    -2.49   
1062   ROE14b   BD-185550                  *       RG     19_58_49.73811   -18_12_11.1355   -125.19   10.03    9.35     7.202    6.555    4660   1.05   -3.15   1.6    BD-18_5550                           -3.2     -2.71   
1066   ROE14b   BD-206008                  *       RG     20_42_48.7677    -20_0_39.3743    22.1      10.6     9.89     8.023    7.396    4540   0.65   -3.05   1.7    BD-20_6008                           -3.0     -2.47   
1069   FUL00    HIP86443                   *       SG     17_39_45.59566   2_24_59.6047     -397.75   10.4     9.92     8.799    8.498    5950   3.9    -2.2    1      BD+02_3375                           -2.3     -1.82   
1074   FUL00    HIP115167                  *       SG     23_19_40.45124   3_22_16.6907     -253      10.67    10.19    9.193    8.831    6100   3.8    -1.5    1.15   BD+02_4651                           -1.75    -1.46   
1076   ARN05    G84-29                     *       SG     5_1_16.62229     4_6_37.0096      173.93    10.17    9.81     8.795    8.516    6240   3.7    -2.84   1.8    BD+03_740                            -2.84    -2.54   
1077   CAR02    G84-29                     *       SG     5_1_16.62229     4_6_37.0096      173.93    10.17    9.81     8.795    8.516    6355   4      -2.7    1.42   BD+03_740                            -2.69    -2.36   
1078   FUL00    HIP23344                   *       SG     5_1_16.62229     4_6_37.0096      173.93    10.17    9.81     8.795    8.516    6075   3.8    -2.7    0.3    BD+03_740                            -2.82    -2.28   
1080   IVA03    G84-29a                    *       HB     5_1_16.62229     4_6_37.0096      173.93    10.17    9.81     8.795    8.516    6000   2.8    -2.97   1.1    BD+03_740                            -2.98    -2.41   
1081   IVA03    G84-29b                    *       SG     5_1_16.62229     4_6_37.0096      173.93    10.17    9.81     8.795    8.516    6330   3.55   -2.75   1.4    BD+03_740                            -2.76    -2.38   
1082   LAI08    G84-29                     *       MS     5_1_16.62229     4_6_37.0096      173.93    10.17    9.81     8.795    8.516    6557   4.28   -2.75   1.8    BD+03_740                            -2.7     -2.5    
1086   ISH10    BD+042466                  *       RG     11_26_49.1898    3_51_51.6315     33.4      11.22    10.67    9.031    8.531    5065   1.82   -2.1    1.82   BD+04_2466                           -2.1     -1.68   
1087   ISH10    BD+042621                  *       RG     12_28_44.64171   4_1_26.6529      -40       10.86    9.9      8.179    7.549    4453   0.9    -2.68   1.92   BD+04_2621                           -2.69    -2.11   
1088   ISH12    BD+042621                  *       RG     12_28_44.64171   4_1_26.6529      -40       10.86    9.9      8.179    7.549    4754   1.63   -2.37   1.72   BD+04_2621                           -2.37    -2.09   
1089   JOH02a   BD+042621                  *       RG     12_28_44.64171   4_1_26.6529      -40       10.86    9.9      8.179    7.549    4650   1.2    -2.35   1.8    BD+04_2621                           -2.5     -2.11   
1090   FUL00    HIP21000                   *       MS     4_30_12.57693    5_17_55.7401     *         11.13    10.56    *        *        6200   4.1    -0.14   1.4    BD+04_701A                           -0.14    -0.1    
1091   JOH02a   BD+053098                  *       RG     15_52_17.25662   5_17_44.3512     -160.7    11.26    10.56    8.805    8.263    4700   1.3    -2.55   1.75   BD+05_3098                           -2.72    -2.02   
1094   JOH02a   BD+082856                  *       RG     14_23_58.16751   8_1_33.3394      64.5      10.9     10.08    8.06     7.387    4550   0.7    -2      2.2    BD+08_2856                           -2.1     -1.49   
1095   ARN05    G48-18                     *       SG     9_29_15.56072    8_38_0.4625      266.13    11.54    11.14    10.193   9.907    6250   3.6    -2.83   1.3    BD+09_2190                           -2.83    -2.63   
1098   ISH10    G41-41                     *       SG     9_29_15.56072    8_38_0.4625      266.13    11.54    11.14    10.193   9.907    6076   3.28   -2.98   1.49   BD+09_2190                           -2.98    -2.53   
1099   ISH12    G41-41                     *       MS     9_29_15.56072    8_38_0.4625      266.13    11.54    11.14    10.193   9.907    6629   4.66   -2.63   1.69   BD+09_2190                           -2.63    -2.52   
1103   ZHA09    G41-41                     *       SG     9_29_15.56072    8_38_0.4625      266.13    11.54    11.14    10.193   9.907    6100   3.9    -2.84   1.42   BD+09_2190                           -2.81    -2.41   
1104   FUL00    HIP48146                   *       MS     9_48_53.15921    8_58_27.5252     *         10.14    9.62     8.554    8.294    6200   4.6    -0.03   1.05   BD+09_2242                           -0.03    -0.15   
1106   FUL00    HIP69746                   *       RG     14_16_29.94575   8_27_52.944      -120.3    10.58    9.7      7.534    6.869    4600   1.1    -2.3    1.95   BD+09_2870                           -2.39    -1.92   
1107   ISH10    BD+092870                  *       RG     14_16_29.94575   8_27_52.944      -120.3    10.58    9.7      7.534    6.869    4285   0.29   -2.7    1.92   BD+09_2870                           -2.69    -1.98   
1108   ISH12    BD+092870                  *       RG     14_16_29.94575   8_27_52.944      -120.3    10.58    9.7      7.534    6.869    4632   1.3    -2.37   1.63   BD+09_2870                           -2.37    -1.96   
1109   ZHA09    BD+092870                  *       RG     14_16_29.94575   8_27_52.944      -120.3    10.58    9.7      7.534    6.869    4300   0.51   -2.73   1.6    BD+09_2870                           -2.73    -2.28   
